Link,Cong_Giao_tiep,Wireless,Webcams,Features,Den_ban_phim
//www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n5i7301w1,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI","Wi-Fi 802.11 a/b/g/n/ac
Bluetooth 5.1",SD,HD webcam,Không có đèn
//www.thegioididong.com/laptop/asus-zenbook-duo-ux8406ca-ultra-9-pz109ws,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Wi-Fi 6 (802.11ax)
Bluetooth 5.1",Micro SD,Full HD Webcam,Không có đèn
//www.thegioididong.com/laptop/gigabyte-aorus-16x-x6lag-i7-9rx6lasgddjixdvn010,"LAN (RJ45)
2 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ DisplayPort)
1 x Thunderbolt 4 (hỗ trợ display/power delivery)
1 x Headphone/microphone combo",Wi-Fi 6 (802.11ax),SD,HD webcam,Không có đèn
//www.thegioididong.com/laptop/dell-inspiron-3530-i5-1335u-i5u085w11blu,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/macbook-pro-14-nano-m4-pro-24-512,"MagSafe 3
Jack tai nghe 3.5 mm
HDMI
3 x Thunderbolt 5 (USB-C) (hỗ trợ Charging, DisplayPort, Thunderbolt 4 và USB 4 (up to 40Gb/s))","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",HD webcam,Công tắc khóa camera,Không có đèn
//www.thegioididong.com/laptop/asus-zenbook-14-ux3405ca-ultra-9-pz204ws,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Wi-Fi 802.11 a/b/g/n/ac
Bluetooth 5.1",HD webcam,"TPM 2.0
Bản lề mở 180 độ
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/asus-s5507qa-x1e-78-100-ma090ws,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
2 x USB Type-C with USB 4.0 (hỗ trợ DisplayPort, Power Delivery)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",SD,HD webcam,Bảo mật vân tay
//www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n3530i5u165w11slu,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,Full HD Webcam,Bảo mật vân tay
//www.thegioididong.com/laptop/msi-vector-16-hx-ai-a2xwig-ultra-9-062vn,Không có,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/dell-vostro-15-3520-i5-v3520i5u165w11gru,"LAN (RJ45)
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/acer-aspire-lite-14-51m-36mh-i3-nxktvsv001?utm_flashsale=1,"Jack tai nghe 3.5 mm
HDMI
3 x USB 3.1
1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5",HD webcam,"Lớp phủ ASUS Antimicrobial Guard
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-71043885,"USB Type-C
1 x USB 2.0
1 x USB 3.2
HDMI
1 x Headphone/microphone combo","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,Cooler Boost,Đơn sắc - Màu xanh
//www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i7-mb1875ws,Không có,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,Full HD Webcam,Màn hình gập 360 độ
//www.thegioididong.com/laptop/hp-15-fd0303tu-i3-a2nl4pa,"HDMI
2 x USB Type-A
1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)
1 x Headphone/microphone combo","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,"Sạc MagSafe
Bảo mật vân tay",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/lenovo-thinkpad-v14-i7-83a00012vn?utm_flashsale=1,"USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)
1 x USB 2.0
1 x USB 3.2
HDMI
1 x Headphone/microphone combo
LAN (RJ45)","Wi-Fi 802.11 a/b/g/n/ac
Bluetooth 5.1",HD webcam,2 quạt,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/dell-inspiron-14-5440-i5-ndy5v1,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)","Wi-Fi 6E (802.11ax)
Bluetooth 5",HD webcam,"Tản nhiệt ASUS IceCool Plus
Quạt IceBlade 89 cánh","Lớp phủ ASUS Antimicrobial Guard
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera"
//www.thegioididong.com/laptop/dell-inspiron-16-5640-core-7-khpf5,"HDMI
2 x USB 3.2
1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4)
1 x Headphone/microphone combo",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/macbook-air-13-inch-m4-32gb-256gb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,Cooler Boost 5,MUX Switch
//www.thegioididong.com/laptop/asus-vivobook-x1404za-i5-nk376w,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Wi-Fi 7 (802.11be)
Bluetooth 5.4","Full HD Webcam
Camera IR","Bảo mật vân tay
Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/macbook-air-15-inch-m4-32gb-512gb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/asus-vivobook-15-x1504va-nj023w?utm_flashsale=1,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,Không có đèn,Không có
//www.thegioididong.com/laptop/msi-thin-15-b12ucx-i5-2046vn,"LAN (RJ45)
1x Mic-in
1x Headphone-out
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5",HD webcam,"Lớp phủ ASUS Antimicrobial Guard
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera",Không có đèn
//www.thegioididong.com/laptop/dell-inspiron-7440-core-5-n4i5006w1,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4)
1 x USB Type-C (chỉ hỗ trợ Power Delivery)","Bluetooth 5.0
Wi-Fi 802.11 a/b/g/n/ac",SD,HD webcam,Không có đèn
//www.thegioididong.com/laptop/macbook-air-13-m2-24gb-512gb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 3","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",SD,HD webcam,"TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Công tắc khóa camera"
//www.thegioididong.com/laptop/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"MUX Switch
NVIDIA Optimus",Đèn chuyển màu RGB - 4 vùng
//www.thegioididong.com/laptop/asus-vivobook-14x-oled-k3405vc-i5-km006w?utm_flashsale=1,"USB Type-C
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Wi-Fi 7 (802.11be)
Bluetooth 5.4",Micro SD,Full HD Webcam,"Màn hình gập 360 độ
Độ bền chuẩn quân đội MIL STD 810H
Bảo mật vân tay
Công tắc khóa camera"
//www.thegioididong.com/laptop/msi-raider-18-hx-ai-a2xwig-ultra-9-033vn,Không có,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/msi-gaming-sword-16-hx-b14vfkg-i7-045vn,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Full HD Webcam,Công tắc khóa camera,Đèn chuyển màu RGB - 1 vùng
//www.thegioididong.com/laptop/msi-prestige-14-ai-studio-c1udxg-ultra-7-058vn,"LAN (RJ45)
1x Headphone-out
1 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB, Power Delivery 3.1 và DisplayPort)
1 x Thunderbolt 4 (hỗ trợ display/power delivery)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",Camera IR 5 MP,"Công tắc khóa camera
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn,Không có,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/hp-pavilion-15-eg2088tu-i7-7c0r0pa?utm_flashsale=1,"USB Type-C
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5",HD webcam,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i5-nj025w?utm_flashsale=1,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Full HD Webcam,Công tắc khóa camera,Đèn chuyển màu RGB - 1 vùng
//www.thegioididong.com/laptop/dell-inspiron-15-3520-i7-71053682,"HDMI
1 x USB 2.0
2 x USB 3.2
1 x Headphone/microphone combo","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",SD,HD webcam,Bản lề mở 180 độ
//www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i7-83k1000fvn,"USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)
2 x USB 3.2
HDMI
1 x Headphone/microphone combo","Wi-Fi 7 (802.11be)
Bluetooth 5.4",SD,"Full HD Webcam
Camera IR","Độ bền chuẩn quân đội MIL STD 810H
Mở khóa khuôn mặt"
//www.thegioididong.com/laptop/asus-g614ju-i7-n3206w,"LAN (RJ45)
2 x USB 3.2
HDMI
1 x Thunderbolt 4 (hỗ trợ DisplayPort)
1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,Đơn sắc - Màu xanh,Không có
//www.thegioididong.com/laptop/lenovo-ideapad-5-2in1-14q8x9-x1p-42-100-83gh001fvn,"HDMI
2 x USB Type-C 3.2 (hỗ trợ Power Delivery 3.0 và DisplayPort 1.4)
1 x USB 3.2
1 x Headphone/microphone combo
1 x USB 3.2 (Always on)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",Full HD Webcam,Công tắc khóa camera,Đèn chuyển màu RGB - 1 vùng
//www.thegioididong.com/laptop/macbook-air-15-inch-m4-16gb-512gb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)","Wi-Fi 6 (802.11ax)
Bluetooth 5.1",Micro SD,Full HD Webcam,Không có đèn
//www.thegioididong.com/laptop/hp-gaming-victus-16-r0130tx-i5-8c5n5pa?utm_flashsale=1,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",SD,HD webcam,Không có đèn
//www.thegioididong.com/laptop/hp-elitebook-635-aero-g11-r7-a8ws7pt,"HDMI
2 x USB 3.2
1 x Headphone/microphone combo
2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"MUX Switch
NVIDIA Optimus",Đèn chuyển màu RGB - 4 vùng
//www.thegioididong.com/laptop/macbook-air-13-inch-m4-24gb-512gb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Bản lề mở 180 độ
Bảo mật vân tay",Không có đèn
//www.thegioididong.com/laptop/acer-aspire-7-a715-76-53pj-i5-nhqgesv007?utm_flashsale=1,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB, Power Delivery, DisplayPort và Thunderbolt 4)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/hp-gaming-victus-16-s0077ax-r7-8c5n6pa?utm_flashsale=1,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,"MUX Switch
NVIDIA Optimus",Đèn chuyển màu RGB - 1 vùng
//www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n5i7240w1,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",1080p FaceTime HD camera,Bảo mật vân tay,Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/asus-zenbook-s16-um5606ka-r7-ai-350-rk113ws,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
2 x USB Type-C with USB 4.0 (hỗ trợ DisplayPort, Power Delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,HD webcam,"Lớp phủ ASUS Antimicrobial Guard
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Công tắc khóa camera"
//www.thegioididong.com/laptop/msi-thin-15-b13ucx-i5-2080vn,"LAN (RJ45)
1x Mic-in
1x Headphone-out
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",Micro SD,Full HD Webcam,"TPM 2.0
Màn hình gập 360 độ
Độ bền chuẩn quân đội MIL STD 810H
Bảo mật vân tay
Công tắc khóa camera"
//www.thegioididong.com/laptop/hp-victus-16-r0227tx-i5-9q978pa,"LAN (RJ45)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",HD webcam,Không có đèn,Không có
//www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,"Jack tai nghe 3.5 mm
HDMI
3 x USB 3.1
1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3","Full HD Webcam
Camera IR","Độ bền chuẩn quân đội MIL STD 810H
Tiêu chuẩn Nền Intel Evo
Bản lề mở 180 độ
Công tắc khóa camera
Numberpad
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-71027003?utm_flashsale=1,"Jack tai nghe 3.5 mm
1 x USB 2.0
2 x USB 3.2
HDMI","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",SD,HD webcam,"MUX Switch
Lớp phủ ASUS Antimicrobial Guard
Bản lề mở 180 độ
Bảo mật vân tay
Công tắc khóa camera"
//www.thegioididong.com/laptop/asus-rog-strix-g16-g614ju-i7-n4450w,"LAN (RJ45)
Jack tai nghe 3.5 mm
1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)
2 x USB 3.2
HDMI
1 x Thunderbolt 4 (hỗ trợ DisplayPort)","Wi-Fi 7 (802.11be)
Bluetooth 5.4",Micro SD,"Full HD Webcam
Camera IR",Độ bền chuẩn quân đội MIL STD 810H
//www.thegioididong.com/laptop/acer-aspire-16-ai-a16-71m-71u7-ultra-7-nxj4ysv002,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
2 x USB Type-C (hỗ trợ USB 4, Thunderbolt 4)","Wi-Fi 6 (802.11ax)
Bluetooth 5.3",HD webcam,"Quạt Arc Flow 84 cánh
5 ống đồng","MUX Switch
NVIDIA Optimus
Độ bền chuẩn quân đội MIL STD 810H"
//www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-256gb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3",HD webcam,"Lớp phủ ASUS Antimicrobial Guard
Độ bền chuẩn quân đội MIL STD 810H
Bản lề mở 180 độ
Bảo mật vân tay",Không có đèn
//www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507vu-i7-lp167w?utm_flashsale=1,"LAN (RJ45)
Jack tai nghe 3.5 mm
1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)
2 x USB 3.2
HDMI
1 x Thunderbolt 4 (hỗ trợ DisplayPort)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,"TPM 2.0
AI Chip LA1
Bản lề mở 180 độ
Công tắc khóa camera",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/macbook-air-13-inch-m4-16gb-512gb,"MagSafe 3
Jack tai nghe 3.5 mm
2 x Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)","Wi-Fi 7 (802.11be)
Bluetooth 5.4",Camera IR,"Bảo mật vân tay
Mở khóa khuôn mặt",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/asus-vivobook-k3605zc-i5-rp629w?utm_flashsale=1,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type C (chỉ hỗ trợ Power Delivery)",Không có,Không có,Không có,Không có
//www.thegioididong.com/laptop/lenovo-ideapad-5-2in1-14irh9-i5-83kx003wvn,"HDMI
1 x USB 3.2
1 x Headphone/microphone combo
2 x USB-C (hỗ trợ USB 3.2, USB Power Delivery 3.1 và DisplayPort 1.4)
1 x USB 3.2 (Always on)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,Không có đèn,Không có
//www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt,"USB Type-C
2 x USB 3.2
HDMI
1 x Headphone/microphone combo","Wi-Fi 6E (802.11ax)
Bluetooth 5.3","Full HD Webcam
Camera IR","TPM 2.0
Độ bền chuẩn quân đội MIL STD 810H
Công tắc khóa camera",Đơn sắc - Màu trắng
//www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3405ma-ultra-5-pp151w,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Bluetooth 5.2
Wi-Fi 6 (802.11ax)",HD webcam,Cooler Boost,Đơn sắc - Màu đỏ
